topic	query
dx_cerebrotendinous_xanthomatosis	(note:("Cerebrotendinous xanthomatosis" OR "Sterol 27-hydroxylase deficiency" OR "Sterol 27 hydroxylase deficiency" OR "Sterol-27-hydroxylase deficiency" OR "27-hydroxylase deficiency" OR "CYP27A1 deficiency" OR "CYP27A1 mutation" OR "CYP27A1 variant" OR "CYP27A1 pathogenic" OR "CYP27A1 gene mutation" OR Cholestanol) OR (note: CTX AND note:(cerebrotendinous OR cholestanol OR CYP27A1 OR "sterol 27-hydroxylase")) OR ((note: "Tendon xanthomatosis" OR note: "Tendinous xanthoma" OR note: "Tendon xanthoma" OR note: "Achilles tendon xanthoma") AND note:(cerebrotendinous OR cholestanol OR CYP27A1 OR "sterol 27-hydroxylase")))
dx_citrullinemia	(note:("Citrullinemia type I" OR "Citrullinemia type 1" OR "Citrullinaemia type 1" OR "Classic citrullinemia" OR "Classical citrullinemia" OR Citrullinemia OR Citrullinaemia OR CTLN1 OR "CTLN 1" OR "CTLN-1" OR "Citrullinemia 1" OR "Citrullinemia I" OR "Acute neonatal citrullinemia type I" OR "Neonatal citrullinemia" OR "Late-onset citrullinemia type I" OR "Adult-onset citrullinemia type I" OR "ASS1 deficiency" OR "ASS1 mutation" OR "ASS1 variant" OR "ASS1 pathogenic" OR "ASS1 gene mutation" OR "Argininosuccinate synthase deficiency" OR "Argininosuccinate synthetase deficiency" OR "Argininosuccinate synthase 1 deficiency" OR "Argininosuccinic acid synthetase deficiency" OR "Hypercitrullinemia due to ASS1 deficiency" OR "Hyperammonemia due to ASS1 deficiency") OR (note:argininosuccinate AND (note:synthase OR note:synthetase))) AND NOT note:("Citrullinemia type II" OR "Citrullinemia type 2" OR "Citrullinemia II" OR "Citrullinemia 2" OR CTLN2 OR "CTLN 2" OR citrin OR NICCD)
dx_cps1_deficiency	(note:("Carbamoyl-phosphate synthetase 1 deficiency" OR "Carbamoyl phosphate synthetase 1 deficiency" OR "Carbamoyl phosphate synthetase I deficiency" OR "Carbamoyl-phosphate synthetase I deficiency" OR "Carbamyl phosphate synthetase deficiency" OR "Carbamoylphosphate synthetase deficiency" OR "Carbamoyl phosphate synthetase deficiency" OR "CPS1 deficiency" OR "CPS I deficiency" OR "CPSI deficiency" OR CPS1D OR CPSD OR "CPS1 mutation" OR "CPS1 variant" OR "CPS1 pathogenic" OR "CPS1 gene mutation" OR "Congenital hyperammonemia type I" OR "Congenital hyperammonemia type 1") OR ((note: carbamoyl OR note: carbamyl) AND (note: synthetase OR note: synthase)))
dx_cpt1_deficiency	(note:("Carnitine palmitoyltransferase I deficiency" OR "Carnitine palmitoyltransferase 1 deficiency" OR "Carnitine palmitoyltransferase 1A deficiency" OR "Carnitine palmitoyltransferase IA deficiency" OR "Carnitine palmitoyl transferase 1A deficiency" OR "Carnitine palmitoyltransferase type 1A deficiency" OR "CPT1A deficiency" OR "CPT1 deficiency" OR "CPT-1 deficiency" OR "CPT I deficiency" OR "CPT IA deficiency" OR "L-CPT1 deficiency" OR "Hepatic CPT deficiency" OR "Hepatic carnitine palmitoyltransferase deficiency" OR "CPT1A mutation" OR "CPT1A variant" OR "CPT1A pathogenic" OR "CPT1A gene mutation") OR (note: carnitine AND note: palmitoyltransferase))
dx_galactosemia	(note:(Galactosemia OR Galactosaemia OR "Classic galactosemia" OR "Classical galactosemia" OR "Galactosemia type I" OR "Galactosemia type 1" OR "Galactosemia type II" OR "Galactosemia type 2" OR "Galactosemia type III" OR "Galactosemia type 3" OR "GALT deficiency" OR "GALT mutation" OR "GALT variant" OR "GALT pathogenic" OR "GALT gene mutation" OR "Galactose-1-phosphate uridylyltransferase deficiency" OR "Galactose-1-phosphate uridyltransferase deficiency" OR "UDP-glucose hexose-1-phosphate uridylyltransferase deficiency" OR "Hexose-1-phosphate uridylyltransferase deficiency" OR "Galactose 1 phosphate uridyl transferase deficiency" OR "Galactokinase deficiency" OR "GALK deficiency" OR "GALK1 deficiency" OR "Galactose epimerase deficiency" OR "Galactoepimerase deficiency" OR "UDP-galactose-4-epimerase deficiency" OR "GALE deficiency" OR "Galactose mutarotase deficiency" OR "GALM deficiency" OR Hypergalactosemia OR Galactosuria) OR (note: galactose AND (note: uridylyltransferase OR note: uridyltransferase)))
dx_gaucher_disease	(note:("Gaucher disease" OR "Gaucher's disease" OR "Gaucher disease type 1" OR "Gaucher disease type I" OR "Gaucher disease type 2" OR "Gaucher disease type II" OR "Gaucher disease type 3" OR "Gaucher disease type III" OR "Type 1 Gaucher disease" OR "Type I Gaucher disease" OR "GD type 1" OR "Fetal Gaucher disease" OR "Perinatal lethal Gaucher disease" OR "GBA deficiency" OR "GBA mutation" OR "GBA variant" OR "GBA pathogenic" OR "GBA gene mutation" OR "GBA1 mutation" OR "GBA1 variant" OR "GBA1 pathogenic" OR "GBA1 deficiency" OR "Glucocerebrosidase deficiency" OR "Acid beta-glucosidase deficiency" OR "Beta-glucocerebrosidase deficiency" OR "Glucosylceramidase deficiency" OR "Acid beta-glucocerebrosidase deficiency" OR "Glucosylceramide lipidosis" OR "Cerebroside lipidosis" OR "Saposin C deficiency" OR "Atypical Gaucher disease due to saposin C deficiency" OR Glucosylsphingosine OR "Lyso-Gb1") OR (note: GD1 AND note:(Gaucher OR glucocerebrosidase OR glucosylceramide)))
dx_glycogen_storage_disease_type_1	note:("Glycogen storage disease type I" OR "Glycogen storage disease type 1" OR "Glycogen storage disease type Ia" OR "Glycogen storage disease type 1a" OR "Glycogen storage disease type Ib" OR "Glycogen storage disease type 1b" OR "GSD I" OR "GSD 1" OR "GSD type I" OR GSD1 OR GSDI OR "GSD Ia" OR "GSD 1a" OR GSDIa OR "GSD type Ia" OR GSD1a OR "von Gierke disease" OR "von Gierke's disease" OR "G6PC deficiency" OR "G6PC mutation" OR "G6PC variant" OR "G6PC pathogenic" OR "G6PC gene mutation" OR "G6PC1 mutation" OR "G6PC1 variant" OR "G6PC1 deficiency" OR "Glucose-6-phosphatase deficiency" OR "Glucose 6 phosphatase deficiency" OR "Glucose-6-phosphatase-alpha deficiency" OR "SLC37A4 mutation" OR "SLC37A4 variant" OR "SLC37A4 deficiency" OR "Glucose-6-phosphate transporter deficiency" OR "Glucose-6-phosphate translocase deficiency" OR "Hepatorenal glycogenosis")
dx_glycogen_storage_disease_type_2	note:("Pompe disease" OR "Pompe's disease" OR "Glycogen storage disease type II" OR "Glycogen storage disease type 2" OR "GSD II" OR "GSD 2" OR "GSD type II" OR GSDII OR GSD2 OR "Infantile-onset Pompe disease" OR "Late-onset Pompe disease" OR IOPD OR LOPD OR "GAA deficiency" OR "GAA mutation" OR "GAA variant" OR "GAA pathogenic" OR "GAA gene mutation" OR "Acid alpha-glucosidase deficiency" OR "Acid alpha glucosidase deficiency" OR "Acid maltase deficiency" OR "Lysosomal alpha-glucosidase deficiency" OR "Acid alpha-1,4-glucosidase deficiency" OR "Alpha-1,4-glucosidase deficiency" OR "Generalized glycogenosis" OR "Cardiomegalia glycogenica")
dx_glycogen_storage_disease_type_3	note:("Glycogen storage disease type III" OR "Glycogen storage disease type 3" OR "Glycogen storage disease type IIIa" OR "Glycogen storage disease type IIIb" OR "GSD III" OR "GSD 3" OR "GSD type III" OR GSDIII OR GSD3 OR "GSD IIIa" OR "GSD IIIb" OR "Cori disease" OR "Cori's disease" OR "Forbes disease" OR "Forbes' disease" OR "Cori-Forbes disease" OR "AGL deficiency" OR "AGL mutation" OR "AGL variant" OR "AGL pathogenic" OR "AGL gene mutation" OR "Glycogen debranching enzyme deficiency" OR "Debrancher deficiency" OR "Debranching enzyme deficiency" OR "Amylo-1,6-glucosidase deficiency" OR "Limit dextrinosis")
dx_glycogen_storage_disease_type_4	note:("Glycogen storage disease type IV" OR "Glycogen storage disease type 4" OR "GSD IV" OR "GSD 4" OR "GSD type IV" OR GSDIV OR GSD4 OR "Andersen disease" OR "Andersen's disease" OR "GBE1 deficiency" OR "GBE1 mutation" OR "GBE1 variant" OR "GBE1 pathogenic" OR "GBE1 gene mutation" OR "Glycogen branching enzyme deficiency" OR "Branching enzyme deficiency" OR "Brancher deficiency" OR Amylopectinosis OR "1,4-alpha-glucan branching enzyme deficiency" OR "Adult polyglucosan body disease" OR APBD OR "Polyglucosan body disease" OR "Glycogen storage disease type IV progressive hepatic form" OR "Glycogen storage disease type IV neuromuscular form")
